epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2583.76,1.47855,3.60924,1.59587,0.60689,0.18444,0.15764,0.1064,1.44674,3.53093,1.82347,0.000174946,0.000174946,0.000174946
2,16794.2,1.49669,2.70707,1.60107,0.62924,0.24454,0.22147,0.13192,1.51743,3.14112,1.81591,0.000327161,0.000327161,0.000327161
3,17655.6,1.49122,2.48326,1.60698,0.67914,0.26941,0.26396,0.16237,1.43707,2.80856,1.78003,0.000456232,0.000456232,0.000456232
4,18508,1.46401,2.33138,1.59699,0.69605,0.29488,0.29883,0.18545,1.41077,2.64299,1.75477,0.000421852,0.000421852,0.000421852
5,19494.2,1.4209,2.14664,1.55714,0.65374,0.34482,0.3572,0.22025,1.41596,2.21756,1.73548,0.000387136,0.000387136,0.000387136
6,20797.8,1.37613,2.01785,1.5891,0.60376,0.36256,0.38213,0.24146,1.38968,2.11321,1.68851,0.00035242,0.00035242,0.00035242
7,21773.3,1.329,1.81589,1.55891,0.58157,0.34616,0.35483,0.22646,1.33534,2.0477,1.64401,0.000317704,0.000317704,0.000317704
8,22899,1.3093,1.69402,1.52731,0.65425,0.35395,0.42573,0.27111,1.30338,1.76333,1.61552,0.000282988,0.000282988,0.000282988
9,24093.7,1.28276,1.57502,1.49981,0.61255,0.42419,0.43396,0.28071,1.27944,1.72956,1.60894,0.000248272,0.000248272,0.000248272
10,24919.3,1.2437,1.48018,1.47731,0.65059,0.40568,0.44613,0.28854,1.26943,1.66857,1.59434,0.000213556,0.000213556,0.000213556
11,25757.6,1.21164,1.38225,1.44834,0.6585,0.43562,0.44735,0.29222,1.24734,1.5796,1.5669,0.00017884,0.00017884,0.00017884
12,26592,1.19122,1.31448,1.43745,0.641,0.44223,0.45132,0.29729,1.23328,1.59267,1.55952,0.000144124,0.000144124,0.000144124
13,27433.2,1.16528,1.24498,1.40874,0.72714,0.43031,0.47491,0.30953,1.21643,1.48788,1.52847,0.000109408,0.000109408,0.000109408
14,28396.5,1.13698,1.18496,1.37703,0.67938,0.48851,0.50661,0.33529,1.20819,1.40166,1.52642,7.4692e-05,7.4692e-05,7.4692e-05
15,29248.3,1.12621,1.13871,1.37309,0.74858,0.44858,0.50207,0.33428,1.20712,1.37807,1.52138,3.9976e-05,3.9976e-05,3.9976e-05
